Common_name	Country	my_locality2	Serial_number	bams_goat_map	bams_impala_map
Impala	Kenya	MasaiMara	8716	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8716.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8716.bam
Impala	Tanzania	Selous	8719	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8719.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8719.bam
Impala	Kenya	MasaiMara	4009	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/4009.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/4009.bam
Impala	Tanzania	Ugalla	5201	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/5201.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/5201.bam
Impala	Tanzania	Ugalla	5454	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/5454.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/5454.bam
Impala	Tanzania	Ugalla	5455	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/5455.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/5455.bam
Impala	Tanzania	Ugalla	5456	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/5456.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/5456.bam
Impala	Tanzania	Ugalla	5457	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/5457.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/5457.bam
Impala	Tanzania	Ugalla	5458	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/5458.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/5458.bam
Impala	Tanzania	Ugalla	5459	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/5459.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/5459.bam
Impala	Tanzania	Ugalla	8485	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8485.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8485.bam
Impala	Tanzania	Ugalla	8504	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8504.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8504.bam
Impala	Tanzania	Ugalla	8505	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8505.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8505.bam
Impala	Tanzania	Ugalla	8708	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8708.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8708.bam
Impala	Tanzania	Ugalla	8713	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8713.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8713.bam
Impala	Tanzania	Ugalla	8715	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8715.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8715.bam
